date,equity,cash,positions,drawdown,returns
2024-03-14,985616.76902,784685.76902,5,-0.06380759001012293,-0.0009157805338428915
2024-03-15,987651.76902,784685.76902,5,-0.0618746363366341,0.002064697014056982
2024-03-18,991204.78302,773020.12002,5,-0.0584997904087436,0.003597435970297047
2024-03-19,989254.5590199999,800052.5590199999,5,-0.06035221922688914,-0.0019675288430893723
2024-03-20,990547.9408199999,800052.5590199999,5,-0.05912369485267118,0.0013074307196332402
2024-03-21,990564.2011699999,797266.9928199999,5,-0.05910824988792194,1.6415510375455966e-05
2024-03-22,987782.4561699999,809041.7471699999,3,-0.06175050257414266,-0.002808243016166334
2024-03-25,985909.4561699999,903624.4561699999,3,-0.06352957983726039,-0.0018961664972896308
2024-03-26,984839.4561699999,903624.4561699999,3,-0.06454592402921766,-0.0010852923595607855
2024-03-27,981909.8434199998,899015.8571699999,3,-0.06732862954617706,-0.0029747109862893195
2024-03-28,982751.4304199998,904025.0434199998,3,-0.0665292444438624,0.0008570919271657651
2024-03-29,983437.4554199998,892761.4554199998,5,-0.06587762058938809,0.0006980656336534885
2024-04-01,985094.4004199997,884693.4004199997,5,-0.06430376411542306,0.0016848504100266393
2024-04-02,986361.6134199997,884693.4004199997,5,-0.06310009629063545,0.0012863873751183252
2024-04-03,984726.1286699998,867114.7259199998,5,-0.06465356865203464,-0.001658098538860675
2024-04-08,981600.2288699998,893675.8286699997,4,-0.06762271828415652,-0.0031743849472359864
2024-04-09,984231.7238699998,904399.2288699998,4,-0.06512318121928307,0.002680821502078601
2024-04-10,983034.2238699998,913129.2238699998,4,-0.06626063184532871,-0.001216685025444475
2024-04-11,981926.2238699998,913129.2238699998,4,-0.06731307050391623,-0.0011271225081442848
2024-04-12,982723.2238699998,913129.2238699998,4,-0.06655603655906582,0.0008116699408013961
2024-04-15,982805.1878699997,886720.8518699997,5,-0.0664781826942532,8.340496897707439e-05
2024-04-16,979652.6978699997,872493.6978699997,5,-0.06947258914444326,-0.003207644850585556
2024-04-17,983686.7558699998,856196.4218699997,5,-0.06564082146377144,0.0041178450370944475
2024-04-18,982911.6398699997,858350.6398699997,5,-0.06637706879526041,-0.0007879703527313708
2024-04-19,982263.6244699997,845459.7668699997,5,-0.06699258906450237,-0.0006592814386506829
2024-04-22,980544.4824699997,854465.4824699997,5,-0.06862552363165171,-0.0017501839192382018
2024-04-23,982448.4824699997,854465.4824699997,5,-0.06681700088259877,0.001941778301789876
2024-04-24,986969.7942699997,854465.4824699997,5,-0.06252241304338578,0.004602085382261256
2024-04-25,986859.2942699997,861839.7942699997,5,-0.06262737195292904,-0.00011195884680714752
2024-04-26,990896.7942699997,861839.7942699997,5,-0.0587923348734641,0.004091262070938573
2024-04-29,990753.1018699998,861839.7942699997,5,-0.0589288217296962,-0.00014501247842446663
2024-04-30,989205.5018699996,870563.5018699997,5,-0.06039881637593291,-0.001562044062319079
2024-05-06,992547.4018699997,870563.5018699997,5,-0.057224498006678566,0.0033783677847349924
2024-05-07,994411.6738699997,870563.5018699997,5,-0.05545371107263318,0.0018782699914257073
2024-05-08,995199.5356699998,864789.8138699997,5,-0.05470535708712377,0.0007922893713967483
2024-05-09,995426.1642699998,883181.0456699998,5,-0.05449009291764576,0.00022772177023533402
